product_id,order_id,transaction_id,customer_id,store_id,quantity,order_date,payment_method, title, url, brand, price, frame_size, frame_width, model_no, productKeys, warranty,cost_of_product
136403,O0083,TRANS0083,CUST7183,1470,12,2023-08-05,UPI,Gunmetal Grey Full Rim Aviator,https://www.lenskart.com/john-jacobs-jj-s12808-c1-sunglasses.html,John Jacobs,3500,Medium ?,135 mm,JJ S12808,",Eyewear,Sunglasses,Brands,John Jacobs",with 1 year warranty,2335
149045,O0084,TRANS0084,CUST10307,1048,16,2024-02-20,Debit Card,Silver Full Rim Round,https://www.lenskart.com/vincent-chase-vc-s13137-c5-c5-sunglasses.html,Vincent Chase Polarized,2000,Narrow ?,135 mm,VC S13137,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty,1281
151324,O0085,TRANS0085,CUST1101,2004,16,2022-12-19,UPI,Aquacolor Premium Silver Gray Zero Power Monthly,https://www.lenskart.com/aquacolor-premium-silver-gray-contact-lenses-2-lens-box.html,null,299,null,null,Aquacolor Premium Silver Gray Zero Power Monthly,null,null,199
201083,O0086,TRANS0086,CUST40291,727,15,2023-11-13,Cash,Gold Grey Full Rim Cat Eye,https://www.lenskart.com/vincent-chase-vc-e14931-c2-eyeglasses.html,Vincent Chase,1700,Medium ?,136 mm,VC E14931,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1151
208805,O0095,TRANS0095,CUST18979,1415,17,2023-08-04,Debit Card,Aquacolor Spicy Gray Premium Powered Monthly,https://www.lenskart.com/aquacolor-aquacolor-premium-spicy-gray-color-cl-1lens-box-plano.html,null,299,null,null,Aquacolor Spicy Gray Premium Powered Monthly,",Eyewear,Contact Lenses,Top Lens Brands,Aqualens Contact Lens,Aqualens color contact lenses",null,190
201083,O0101,TRANS0101,CUST28215,2318,3,2023-06-05,Debit Card,Gold Grey Full Rim Cat Eye,https://www.lenskart.com/vincent-chase-vc-e14931-c2-eyeglasses.html,Vincent Chase,1700,Medium ?,136 mm,VC E14931,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1151
215326,O0112,TRANS0112,CUST2094,627,5,2023-08-08,Cash,Blue Full Rim Rectangle,https://www.lenskart.com/vincent-chase-vc-e16612-c3-eyeglasses.html,Vincent Chase,1700,Wide ?,139 mm,VC E16612,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1084
213359,O0115,TRANS0115,CUST27261,662,12,2022-05-26,Cash,Silver Transparent Full Rim Cat Eye,https://www.lenskart.com/lenskart-air-la-e16567-c2-eyeglasses.html,Lenskart Air,1700,Extra Narrow ?,129 mm,LA E16567,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1152
112985,O0120,TRANS0120,CUST22674,588,3,2023-11-02,Debit Card,Alcon Freshlook Gray Powered Bi-Weekly,https://www.lenskart.com/freshlook-colorblends-gray-color-lenses-2-lens-per-box-alcon.html,null,699,null,null,Alcon Freshlook Gray Powered Bi-Weekly,",Eyewear,Contact Lenses,Top Lens Brands,Alcon Contact Lenses",null,467
153143,O0124,TRANS0124,CUST18276,449,11,2023-07-14,UPI,Aquacolor Premium Dusk Blue Powered Monthly,https://www.lenskart.com/aquacolor-premium-dusk-blue-color-contact-lenses-1-lens-box.html,null,299,null,null,Aquacolor Premium Dusk Blue Powered Monthly,",Eyewear,Contact Lenses,Top Lens Brands,Aqualens Contact Lens,Aqualens color contact lenses",null,200
215910,O0127,TRANS0127,CUST5979,1438,16,2024-01-12,Credit Card,Gold Grey Half Rim Square,https://www.lenskart.com/lenskart-air-la-e16725-c2-eyeglasses.html,Lenskart Air,1700,Narrow ?,132 mm,LA E16725,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1086
38716,O0135,TRANS0135,CUST48328,342,3,2023-08-01,UPI,Acuvue Moist Daily Disposable with BC 8.5 10Hrs,https://www.lenskart.com/johnson-johnson-moist-acuvue-30-lenses-box-new.html,null,1895,null,null,Acuvue Moist Daily Disposable with BC 8.5 10Hrs,",Eyewear,Contact Lenses,Top Lens Brands,Johnson &amp;amp; Johnson Lenses",null,1159
211293,O0151,TRANS0151,CUST12679,800,7,2024-02-16,UPI,Black Full Rim Square,https://www.lenskart.com/lenskart-air-la-e13069/w-c1-eyeglasses.html,Lenskart Air,1700,Wide ?,140 mm,LA E13069-W,",Eyewear,Eyeglasses,Brands,Lenskart Air Online",with 1 Year Warranty & 14 Day Return,1029
201612,O0157,TRANS0157,CUST13235,599,10,2022-12-24,Cash,Brown Transparent Full Rim Round,https://www.lenskart.com/vincent-chase-vc-e14971-c2-eyeglasses.html,Vincent Chase,1700,Medium ?,137 mm,VC E14971,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1142
208804,O0162,TRANS0162,CUST12588,2119,11,2022-07-07,Credit Card,Aquacolor Premium Dusky Brown Powered Monthly,https://www.lenskart.com/aquacolor-aquacolor-premium-dusky-brown-color-cl-1lens-box-plano.html,null,299,null,null,Aquacolor Premium Dusky Brown Powered Monthly,",Eyewear,Contact Lenses,Top Lens Brands,Aqualens Contact Lens,Aqualens color contact lenses",null,204
112775,O0164,TRANS0164,CUST0152,1871,20,2024-01-20,Debit Card,Bausch & Lomb Soflens Toric Monthly Disposable,https://www.lenskart.com/soflens-toric-1-lensesbox-bausch-lomb-N.html,null,349,null,null,Bausch & Lomb Soflens Toric Monthly Disposable,",Eyewear,Contact Lenses,Top Lens Brands,Bausch &amp; Lomb Contact Lenses",null,243
146617,O0167,TRANS0167,CUST27487,407,6,2023-06-25,Cash,Gold Full Rim Geometric,https://www.lenskart.com/vincent-chase-vc-e13785-c1-eyeglasses.html,Vincent Chase,1700,Medium ?,134 mm,VC E13785,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1102
204182,O0171,TRANS0171,CUST15649,2138,4,2023-03-07,Debit Card,Purple Full Rim Round,https://www.lenskart.com/lenskart-air-la-e15018-c2-eyeglasses.html,Lenskart Air,1700,Narrow ?,133 mm,LA E15018,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1032
151492,O0175,TRANS0175,CUST8411,2179,6,2024-03-22,Credit Card,Blue Block Screen Glasses: Gold Brown Full Rim Aviator Lenskart Blu LB E14521-C2,https://www.lenskart.com/lenskart-blu-lb-e14521-c2-eyeglasses.html,Lenskart Blu,2000,Narrow ?,133 mm,LB E14521,",Eyewear,Eyeglasses,Brands,Lenskart Blu",null,1283
150600,O0183,TRANS0183,CUST5314,367,8,2022-06-06,Cash,Sky Blue Transparent Full Rim Rectangle,https://www.lenskart.com/lenskart-air-la-e14368-c2-eyeglasses.html,Lenskart Air,1700,Medium ?,135 mm,LA E14368,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1128
209756,O0194,TRANS0194,CUST38261,1113,19,2023-08-21,Credit Card,Black Full Rim Rectangle,https://www.lenskart.com/lenskart-air-la-e15846-c2-eyeglasses.html,Lenskart Air,1700,Wide ?,139 mm,LA E15846,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1099
215328,O0196,TRANS0196,CUST28839,2115,19,2023-09-06,Cash,Blue Transparent Full Rim Rectangle,https://www.lenskart.com/vincent-chase-vc-e16613-c2-eyeglasses.html,Vincent Chase,1700,Extra Narrow ?,145 mm,VC E16613,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1082
201105,O0208,TRANS0208,CUST16951,131,3,2022-07-06,UPI,Blue Black Full Rim Square,https://www.lenskart.com/vincent-chase-vc-e14938-c3-eyeglasses.html,Vincent Chase,1700,Wide ?,139 mm,VC E14938,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1131
150584,O0228,TRANS0228,CUST15018,1550,20,2022-07-01,Credit Card,Blue Full Rim Rectangle,https://www.lenskart.com/lenskart-air-la-e14363-c1-eyeglasses.html,Lenskart Air,1700,Wide ?,141 mm,LA E14363,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1078
148908,O0231,TRANS0231,CUST35971,1613,19,2023-08-10,Debit Card,Gold Full Rim Geometric,https://www.lenskart.com/vincent-chase-vc-s14077-c3-c3-sunglasses.html,Vincent Chase Polarized,2000,Narrow ?,133 mm,VC S14077,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty,1376
217202,O0234,TRANS0234,CUST22238,2172,16,2023-10-09,Credit Card,Olive Full Rim Wayfarer,https://www.lenskart.com/lenskart-hustlr-lh-e16985-w-c2-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LH E16985-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",with 1 Year Warranty & 14 Day Return,1147
215378,O0244,TRANS0244,CUST49195,855,14,2022-11-05,UPI,Silver Full Rim Geometric,https://www.lenskart.com/vincent-chase-vc-e16656-c2-eyeglasses.html,Vincent Chase,1700,Narrow ?,133 mm,VC E16656,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1029
148327,O0261,TRANS0261,CUST47933,1477,15,2023-04-08,Cash,Transparent Full Rim Rectangle,https://www.lenskart.com/lenskart-air-la-e14016-c1-eyeglasses.html,Lenskart Air,1700,Wide ?,139 mm,LA E14016,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1151
149058,O0268,TRANS0268,CUST30845,400,15,2023-09-04,Credit Card,Blue Transparent Full Rim Square,https://www.lenskart.com/vincent-chase-vc-e14105-c2-c2-eyeglasses.html,Vincent Chase,1700,Extra Wide ?,142 mm,VC E14105,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1089
201283,O0277,TRANS0277,CUST49872,504,4,2024-02-29,Debit Card,Grey Green Transparent Full Rim Square,https://www.lenskart.com/lenskart-air-la-e14962-c1-eyeglasses.html,Lenskart Air,1700,Wide ?,140 mm,LA E14962,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1072
200234,O0292,TRANS0292,CUST1711,2288,14,2022-07-23,Debit Card,Black Half Rim Rectangle,https://www.lenskart.com/lenskart-air-la-e14802-c2-eyeglasses.html,Lenskart Air,1700,Wide ?,140 mm,LA E14802,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1140
146624,O0294,TRANS0294,CUST27768,1016,6,2022-10-06,Debit Card,Matte Gunmetal Full Rim Geometric,https://www.lenskart.com/vincent-chase-vc-e13788-c2-eyeglasses.html,Vincent Chase,1700,Narrow ?,132 mm,VC E13788,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1176
215412,O0301,TRANS0301,CUST16050,442,5,2024-03-21,Debit Card,Brown Transparent Full Rim Round,https://www.lenskart.com/lenskart-air-la-e16644-c1-eyeglasses.html,Lenskart Air,1700,Narrow ?,133 mm,LA E16644,",Eyewear,Eyeglasses,Brands,Lenskart Air Online",with 1 Year Warranty & 14 Day Return,1161
129277,O0302,TRANS0302,CUST46528,963,3,2023-06-26,UPI,Acuvue Moist Toric Daily Disposable 10Hrs,https://www.lenskart.com/johnson-johnson-acuvue-moist-for-astigmatism-30-lens-box.html,null,1995,null,null,Acuvue Moist Toric Daily Disposable 10Hrs,",Eyewear,Contact Lenses,Top Lens Brands,Johnson &amp;amp; Johnson Lenses",null,1198
135218,O0310,TRANS0310,CUST36444,2281,13,2023-03-01,Credit Card,Aqualens Toric Monthly Disposable 24Hrs,https://www.lenskart.com/aqualens-24h-toric-contact-lens-3-lens-box.html,null,999,null,null,Aqualens Toric Monthly Disposable 24Hrs,null,null,602
217203,O0315,TRANS0315,CUST32914,835,3,2024-01-19,UPI,Sapphire Full Rim Wayfarer,https://www.lenskart.com/lenskart-hustlr-lh-e16985-w-c3-eyeglasses.html,Lenskart Hustlr,1700,Medium ?,139 mm,LH E16985-W,",Eyewear,Eyeglasses,Brands,Lenskart HUSTLR",with 1 Year Warranty & 14 Day Return,1087
208801,O0319,TRANS0319,CUST42710,1422,11,2022-11-06,Credit Card,Aquacolor Premium Naughty Brown Powered Monthly,https://www.lenskart.com/aquacolor-aquacolor-premium-naughty-brown-color-cl-1lens-box.html,null,299,null,null,Aquacolor Premium Naughty Brown Powered Monthly,",Eyewear,Contact Lenses,Top Lens Brands,Aqualens Contact Lens,Aqualens color contact lenses",null,190
149929,O0321,TRANS0321,CUST40680,1901,9,2022-11-30,Debit Card,Aquacolor Candypack Stormy Gray Zero Power Daily,https://www.lenskart.com/aquacolor-stormy-gray-candy-pack-color-lenses-2-lens-box-plano.html,null,169,null,null,Aquacolor Candypack Stormy Gray Zero Power Daily,null,null,102
213106,O0327,TRANS0327,CUST1848,13,12,2023-03-25,UPI,Black Full Rim Round,https://www.lenskart.com/lenskart-air-la-e16491-c1-eyeglasses.html,Lenskart Air,3000,Medium ?,135 mm,LA E16491,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1868
210237,O0333,TRANS0333,CUST46506,1797,5,2023-08-21,Cash,Black Full Rim Wayfarer,https://www.lenskart.com/john-jacobs-jj-s15907-c1-sunglasses.html,John Jacobs,6000,Wide ?,139 mm,JJ S15907,",Eyewear,Sunglasses,Brands,John Jacobs",with 1 year warranty,4058
212718,O0336,TRANS0336,CUST48582,1723,1,2023-02-04,Debit Card,Black Grey Full Rim Cat Eye,https://www.lenskart.com/lenskart-air-la-e16433-c2-eyeglasses.html,Lenskart Air,1700,Narrow ?,131 mm,LA E16433,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1090
146615,O0341,TRANS0341,CUST21420,933,1,2023-11-30,Cash,Purple Silver Full Rim Round,https://www.lenskart.com/vincent-chase-vc-e13784-c1-eyeglasses.html,Vincent Chase,1700,Medium ?,135 mm,VC E13784,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1103
128552,O0342,TRANS0342,CUST30677,2268,3,2023-05-28,Cash,Brown Tortoise Full Rim Round,https://www.lenskart.com/vincent-chase-vc-e11262-c2-eyeglasses.html,Vincent Chase,1700,Narrow ?,132 mm,VC E11262,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1169
150414,O0343,TRANS0343,CUST16274,1528,1,2022-08-22,UPI,Black Rimless Rectangle,https://www.lenskart.com/vincent-chase-vc-e14324-c4-eyeglasses.html,Vincent Chase,1700,Medium ?,136 mm,VC E14324,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1058
211603,O0353,TRANS0353,CUST23622,285,14,2022-12-07,Cash,Gold Full Rim Round,https://www.lenskart.com/lenskart-air-la-e16205-c1-eyeglasses.html,Lenskart Air,3000,Narrow ?,132 mm,LA E16205,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1952
153144,O0359,TRANS0359,CUST25303,1150,9,2022-11-30,Credit Card,Aquacolor Premium Brown Powered Monthly,https://www.lenskart.com/aquacolor-premium-brown-color-contact-lenses-1-lens-box.html,null,299,null,null,Aquacolor Premium Brown Powered Monthly,",Eyewear,Contact Lenses,Top Lens Brands,Aqualens Contact Lens,Aqualens color contact lenses",null,191
135440,O0361,TRANS0361,CUST47274,984,10,2022-10-19,Credit Card,Gunmetal Black Rimless Rectangle,https://www.lenskart.com/john-jacobs-rimless-jj-e12610-c3-eyeglasses.html,John Jacobs,3500,Medium ?,134 mm,JJ E12610,",Eyewear,Eyeglasses,Brands,John Jacobs",with 1 Year Warranty & 14 Day Return,2292
146817,O0363,TRANS0363,CUST31075,1260,14,2024-03-24,UPI,Brown Tortoise Full Rim Cat Eye,https://www.lenskart.com/lenskar-air-la-e11484-c2-eyeglasses.html,Lenskart Air,1700,Extra Narrow ?,128 mm,LA E11484,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1132
212879,O0366,TRANS0366,CUST28729,357,11,2022-07-11,Debit Card,Rose Gold Full Rim Geometric,https://www.lenskart.com/vincent-chase-vc-e16461-c1-eyeglasses.html,Vincent Chase,1700,Medium ?,135 mm,VC E16461,",Eyewear",with 1 Year Warranty & 14 Day Return,1161
148524,O0372,TRANS0372,CUST32096,265,11,2024-01-14,UPI,Black Full Rim Rectangle,https://www.lenskart.com/vincent-chase-vc-e14039-c1-eyeglasses.html,Vincent Chase,1700,Wide ?,139 mm,VC E14039,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1094
208801,O0382,TRANS0382,CUST21778,1677,4,2022-07-23,Cash,Aquacolor Premium Naughty Brown Powered Monthly,https://www.lenskart.com/aquacolor-aquacolor-premium-naughty-brown-color-cl-1lens-box.html,null,299,null,null,Aquacolor Premium Naughty Brown Powered Monthly,",Eyewear,Contact Lenses,Top Lens Brands,Aqualens Contact Lens,Aqualens color contact lenses",null,190
215421,O0385,TRANS0385,CUST24611,1453,16,2022-05-02,Cash,Black Full Rim Round,https://www.lenskart.com/lenskart-air-la-e16648-c1-eyeglasses.html,Lenskart Air,1700,Narrow ?,132 mm,LA E16648,",Eyewear,Eyeglasses,Brands,Lenskart Air Online",with 1 Year Warranty & 14 Day Return,1060
122260,O0386,TRANS0386,CUST24888,2311,6,2024-03-18,Cash,Matte Black Golden Full Rim Clubmaster,https://www.lenskart.com/black-grey-full-rim-clubmaster-small-size-53-vincent-chase-polarized-popstar-vc-s10681-p-c2-sunglasses.html,Vincent Chase Polarized,2000,Extra Wide ?,146 mm,VC S10681/P,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty,1350
151323,O0395,TRANS0395,CUST11098,217,3,2022-04-24,Credit Card,Aquacolor Premium Gray Zero Power Monthly,https://www.lenskart.com/aquacolor-premium-gray-contact-lenses-2-lens-box.html,null,299,null,null,Aquacolor Premium Gray Zero Power Monthly,null,null,204
148157,O0401,TRANS0401,CUST31175,1675,19,2023-10-11,Debit Card,Gunmetal Full Rim Geometric,https://www.lenskart.com/vincent-chase-vc-s13984-c1-sunglasses.html,Vincent Chase,2000,Narrow ?,133 mm,VC S13984,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty,1368
141243,O0405,TRANS0405,CUST11083,1390,1,2023-10-02,Credit Card,Black Full Rim Hexagonal,https://www.lenskart.com/john-jacobs-john-jacobs-jj-e12699-c3-eyeglass.html,John Jacobs,3500,Medium ?,137 mm,JJ E12699,",Eyewear,Eyeglasses,Brands,John Jacobs",with 1 Year Warranty & 14 Day Return,2185
153146,O0409,TRANS0409,CUST37316,1060,12,2023-02-10,UPI,Aquacolor Premium Silver Gray Powered Monthly,https://www.lenskart.com/aquacolor-premium-silver-gray-color-contact-lenses-1-lens-box.html,null,299,null,null,Aquacolor Premium Silver Gray Powered Monthly,",Eyewear,Contact Lenses,Top Lens Brands,Aqualens Contact Lens,Aqualens color contact lenses",null,202
215407,O0422,TRANS0422,CUST47218,79,10,2023-02-02,Debit Card,Blue Transparent Full Rim Rectangle,https://www.lenskart.com/lenskart-air-la-e16641-c2-eyeglasses.html,Lenskart Air,1700,Medium ?,136 mm,LA E16641,",Eyewear,Eyeglasses,Brands,Lenskart Air Online",with 1 Year Warranty & 14 Day Return,1076
135440,O0427,TRANS0427,CUST41416,1298,13,2022-05-30,Credit Card,Gunmetal Black Rimless Rectangle,https://www.lenskart.com/john-jacobs-rimless-jj-e12610-c3-eyeglasses.html,John Jacobs,3500,Medium ?,134 mm,JJ E12610,",Eyewear,Eyeglasses,Brands,John Jacobs",with 1 Year Warranty & 14 Day Return,2292
216398,O0438,TRANS0438,CUST7804,79,13,2022-12-07,UPI,Black Full Rim Cat Eye,https://www.lenskart.com/vincent-chase-vc-e16788-c2-eyeglasses.html,Vincent Chase,1700,Medium ?,136 mm,VC E16788,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1051
215314,O0445,TRANS0445,CUST46733,63,1,2022-10-03,Cash,Transparent Full Rim Square,https://www.lenskart.com/vincent-chase-vc-e16607-c2-eyeglasses.html,Vincent Chase,1700,Medium ?,135 mm,VC E16607,",Eyewear,Eyeglasses,Brands,Vincent Chase",with 1 Year Warranty & 14 Day Return,1108
217825,O0455,TRANS0455,CUST36512,2025,16,2024-03-10,Credit Card,Aquacolor Candypack Mystery Brown Daily,https://www.lenskart.com/aqua-color-candy-pack-2-len.html,null,169,null,null,Aquacolor Candypack Mystery Brown Daily,null,null,106
213371,O0457,TRANS0457,CUST0692,992,17,2022-07-15,Credit Card,Black Grey Full Rim Geometric,https://www.lenskart.com/lenskart-air-la-e16572-c2-eyeglasses.html,Lenskart Air,1700,Medium ?,136 mm,LA E16572,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1111
151702,O0460,TRANS0460,CUST47216,1283,5,2023-04-26,Debit Card,Grey Transparent Full Rim Rectangle,https://www.lenskart.com/lenskart-air-la-e14572-c3-eyeglasses.html,Lenskart Air,1700,Medium ?,137 mm,LA E14572,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1063
149035,O0470,TRANS0470,CUST30538,156,20,2023-07-02,Debit Card,Gold Full Rim Rectangle/ Square,https://www.lenskart.com/vincent-chase-vc-s13115-c2-c2-sunglasses.html,Vincent Chase Polarized,2000,Narrow ?,135 mm,VC S13115,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty,1363
201272,O0473,TRANS0473,CUST6337,506,11,2024-01-09,Cash,Grey Transparent Full Rim Geometric,https://www.lenskart.com/lenskart-air-la-e14958-c2-eyeglasses.html,Lenskart Air,1700,Extra Wide ?,143 mm,LA E14958,",Eyewear,Eyeglasses,Brands,Lenskart Air",with 1 Year Warranty & 14 Day Return,1067
149045,O0481,TRANS0481,CUST5652,1882,13,2024-01-29,UPI,Silver Full Rim Round,https://www.lenskart.com/vincent-chase-vc-s13137-c5-c5-sunglasses.html,Vincent Chase Polarized,2000,Narrow ?,135 mm,VC S13137,",Eyewear,Sunglasses,Brands,Vincent Chase",with 1 year warranty,1281
